Entity,Code,Year,population__sex_all__age_0__variant_estimates,vaccinated__antigen_dtpcv3,vaccinated__antigen_pol3,vaccinated__antigen_mcv1,vaccinated__antigen_hib3,vaccinated__antigen_rcv1,vaccinated__antigen_rotac,vaccinated__antigen_hepb3,vaccinated__antigen_yfv,vaccinated__antigen_ipv1
World,OWID_WRL,1980,118940703,22430540,23552068,17944432,,3364581,,,,
World,OWID_WRL,1981,121157648,26405040,25256996,21812860,,4592181,,,,
World,OWID_WRL,1982,123995195,29269624,48002180,23415698,,4683139.5,,,,
World,OWID_WRL,1983,125255570,44378212,50375268,43178804,,4797644.5,,,,
World,OWID_WRL,1984,125901195,53339720,55764252,48490652,,6061331.5,,,,
World,OWID_WRL,1985,128135695,58528012,60966680,56089344,,6096668,,0,,
World,OWID_WRL,1986,130676117,63359416,62117070,57147708,,6211707.5,,0,,
World,OWID_WRL,1987,133246093,69772184,71040776,67235016,,6342926,,0,,
World,OWID_WRL,1988,134142890,81567820,82862550,80273096,,7768364,,0,,
World,OWID_WRL,1989,134720546,88706230,91315240,87401730,,9131524,,0,,
World,OWID_WRL,1990,136023421,99607630,98297000,95675750,0,9174387,,1310626.8,,
World,OWID_WRL,1991,134138921,93992430,93992430,90020920,0,10590696,,1323837,,
World,OWID_WRL,1992,130932781,90156810,90156810,88850190,1306620.5,10452964,,3919861.5,,
World,OWID_WRL,1993,129772109,88063656,89339940,88063656,1276284.9,11486564,,5105139.5,,
World,OWID_WRL,1994,129157031,91115750,91115750,89850260,1265496.5,12654966,,8858476,,
World,OWID_WRL,1995,128912687,90726650,91986744,91986744,5040369.5,13861016,,13861016,,
World,OWID_WRL,1996,128697101,90627300,91886020,91886020,6293562.5,15104550,,16363262,,
World,OWID_WRL,1997,128385867,89270376,91785040,89270376,6286646.5,15087951,,17602610,3771987.8,
World,OWID_WRL,1998,128228898,89090110,90344904,87835320,8783532,18821854,,18821854,11293113,
World,OWID_WRL,1999,128319085,89047600,91555980,89047600,10033532,20067064,,22575448,12541916,
World,OWID_WRL,2000,129414484,90442600,91698744,89186450,16329913,25122944,,36428268,13817619,
World,OWID_WRL,2001,130289734,91312840,92581070,91312840,17755274,26632912,,39315252,15218807,
World,OWID_WRL,2002,130324148,92049780,94606720,92049780,20455506,26847852,,47303360,15341630,
World,OWID_WRL,2003,130676382,94726010,96006090,93445930,21761380,28161786,,55043492,20481298,
World,OWID_WRL,2004,131352406,97629480,96344880,96344880,24407370,29545764,,61660724,32114960,
World,OWID_WRL,2005,132166375,99514690,100807090,99514690,25847972,29725168,,69789520,40064356,
World,OWID_WRL,2006,133172453,101508470,102809864,101508470,27329204,32534768,1301390.8,75480664,46850064,
World,OWID_WRL,2007,134619765,102359560,104984160,103671864,31495248,32807550,2624604,82675020,51179780,
World,OWID_WRL,2008,136384171,107559736,108887630,107559736,35853244,33197448,3983694,91624960,50460124,
World,OWID_WRL,2009,137994968,111740800,111740800,111740800,51158436,33656868,8077648,98278050,55197260,
World,OWID_WRL,2010,138811906,113117660,113117660,114480530,54514536,46337356,10902907,99489030,51788812,
World,OWID_WRL,2011,139294296,115233130,113861304,115233130,58988388,50757450,12346407,101514900,48013804,
World,OWID_WRL,2012,140724046,115737040,115737040,115737040,62001984,53735052,15156041,110225750,49601588,
World,OWID_WRL,2013,141410843,117027656,117027656,117027656,69659320,58513828,19504610,110061730,54334268,
World,OWID_WRL,2014,141176140,117670700,117670700,117670700,77046296,61637036,25215150,113468180,56033668,
World,OWID_WRL,2015,140959734,118914030,118914030,117515040,88136280,64353476,30777748,116116056,57358532,32176738
World,OWID_WRL,2016,140883453,120181180,118783730,118783730,97821896,65680416,33538934,117386270,57295680,65680416
World,OWID_WRL,2017,140657625,120160700,120160700,118763490,99202440,71258100,37724870,117366270,60080350,81038616
World,OWID_WRL,2018,138549234,119999816,119999816,119999816,101860310,94883576,48837136,117209120,64185948,100464960
World,OWID_WRL,2019,136264406,118234140,118234140,118234140,101736350,94862280,54992624,118234140,64616336,114109700
World,OWID_WRL,2020,133562421,112244620,112244620,112244620,98721176,91959450,64912550,112244620,60855516,108187580
World,OWID_WRL,2021,131034953,107382696,107382696,107382696,95451290,87497016,64959904,107382696,62308480,106056984
World,OWID_WRL,2022,129925828,109270660,109270660,107969816,100164770,93660570,67643740,109270660,59838692,109270660
World,OWID_WRL,2023,129244054,108385840,107095540,107095540,99353690,91611840,70966920,107095540,64515384,107095540